,TABLE_NAME,COLUMN_NAME,OBJECT_NAME,LABEL,SQL_TYPE,PRESCISION,IS_PK,IS_FK,AUTO++,NULLABLE,DESCRIPTION
,PARAMETRO,,Parametro,,"Parametro",,,,
,,descripcion_es,DescripcionEs,"Descripcion Es",VARCHAR,255,false,false,false,false
,,numero_parte,NumeroParte,"Numero Parte",VARCHAR,50,true,false,false,false
,,descripcion_en,DescripcionEn,"Descripcion En",VARCHAR,255,false,false,false,true
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,tipo_abastecimiento,TipoAbastecimiento,"Tipo Abastecimiento",INT,0,false,true,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,mime_type,MimeType,"Mime Type",VARCHAR,64,false,false,false,true
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,id_categoria_material,IdCategoriaMaterial,"Id Categoria Material",INT,0,false,true,false,false
,,peso,Peso,"Peso",DECIMAL,19,false,false,false,false
,,url_multimedia,UrlMultimedia,"Url Multimedia",VARCHAR,255,false,false,false,true
,RESPONSABLE_ESTACION,,ResponsableEstacion,,"Responsable Estacion",,,,
,,id_empleado_jefe,IdEmpleadoJefe,"Id Empleado Jefe",INT,0,false,true,false,false
,,id_responsable_estacion,IdResponsableEstacion,"Id Responsable Estacion",INT,0,true,false,true,false
,,id_area,IdArea,"Id Area",INT,0,false,true,false,false
,,id_estacion,IdEstacion,"Id Estacion",INT,0,false,true,false,false
,,id_empleado,IdEmpleado,"Id Empleado",INT,0,false,true,false,false
,TIPO_PRODUCTO_REPORTE,,TipoProductoReporte,,"Tipo Producto Reporte",,,,
,,estatus,Estatus,"Estatus",INT,0,false,true,false,false
,,descripcion,Descripcion,"Descripcion",VARCHAR,20,false,false,false,false
,,id_tipo_producto_reporte,IdTipoProductoReporte,"Id Tipo Producto Reporte",INT,0,true,false,true,false
,TIPO_EQUIPO_AVION,,TipoEquipoAvion,,"Tipo Equipo Avion",,,,
,,id_tipo_equipo_avion,IdTipoEquipoAvion,"Id Tipo Equipo Avion",INT,0,true,false,true,false
,,id_modelo_avion,IdModeloAvion,"Id Modelo Avion",INT,0,false,true,false,false
,,total_aviones,TotalAviones,"Total Aviones",TINYINT,0,false,false,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,tipo_equipo,TipoEquipo,"Tipo Equipo",VARCHAR,6,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,TSU,,Tsu,,"tsu_operaciones",,,,
,,id_idioma,IdIdioma,,INT,0,false,true,false,false
,,fecha_vigencia_fin,FechaVigenciaFin,,DATE,0,false,false,false,true
,,id_clase,IdClase,,INT,0,false,true,false,false
,,status,Status,,TINYINT,0,false,false,false,false
,,id_revision,IdRevision,,INT,0,false,true,false,false
,,cve_tsu,CveTsu,,VARCHAR,10,false,false,false,false
,,usuario_modifico,UsuarioModifico,,VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,,TIMESTAMP,0,false,false,false,false
,,usuario_creo,UsuarioCreo,,VARCHAR,100,false,false,false,false
,,fecha_creo,FechaCreo,,TIMESTAMP,0,false,false,false,false
,,id_multimedio,IdMultimedio,,INT,0,false,true,false,false
,,fecha_vigencia_inicio,FechaVigenciaInicio,,DATE,0,false,false,false,true
,,id_tsu,IdTsu,,INT,0,true,false,true,false
,,notas,Notas,,VARCHAR,512,false,false,false,true
,AVION,,Avion,,"Avion",,,,
,,id_tipo_equipo_avion,IdTipoEquipoAvion,"Id Tipo Equipo Avion",INT,0,false,true,false,false
,,matricula,Matricula,"Matricula",VARCHAR,50,false,false,false,false
,,id_conectividad,IdConectividad,"Id Conectividad",INT,0,false,true,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,id_avion,IdAvion,"Id Avion",INT,0,true,false,true,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,matricula_corta,MatriculaCorta,"Matricula Corta",VARCHAR,10,false,false,false,false
,VUELO,,Vuelo,,"Vuelo",,,,
,,id_estacion_destino,IdEstacionDestino,"Id Estacion Destino",INT,0,false,true,false,false
,,id_vuelo,IdVuelo,"Id Vuelo",INT,0,true,false,true,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,id_estacion_origen,IdEstacionOrigen,"Id Estacion Origen",INT,0,false,true,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,id_compania,IdCompania,"Id Compania",INT,0,false,true,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,id_tipo_cabina,IdTipoCabina,"Id Tipo Cabina",INT,0,false,true,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,numero_vuelo,NumeroVuelo,"Numero Vuelo",INT,0,false,false,false,false
,KIT_MASTER,,KitMaster,,"Kit Master",,,,
,,id_unidad_medida,IdUnidadMedida,"Id Unidad Medida",INT,0,false,true,false,false
,,contenedor,Contenedor,"Contenedor",VARCHAR,50,false,false,false,true
,,nombre_en,NombreEn,"Nombre En",VARCHAR,50,false,false,false,false
,,cve_kit_master,CveKitMaster,"Cve Kit Master",VARCHAR,50,true,false,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,id_instrucciones_nacionales,IdInstruccionesNacionales,"Id Instrucciones Nacionales",INT,0,false,true,false,false
,,id_tipo_kit,IdTipoKit,"Id Tipo Kit",INT,0,false,true,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,mime_type,MimeType,"Mime Type",VARCHAR,64,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,id_multimedio,IdMultimedio,"Id Multimedio",INT,0,false,true,false,true
,,url_multimedia,UrlMultimedia,"Url Multimedia",VARCHAR,255,false,false,false,false
,,id_instrucciones_internac,IdInstruccionesInternac,"Id Instrucciones Internac",INT,0,false,true,false,false
,,nombre_es,NombreEs,"Nombre Es",VARCHAR,50,false,false,false,false
,PRODUCTO,,Producto,,"Producto",,,,
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,id_producto,IdProducto,"Id Producto",INT,0,true,false,true,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,nombre,Nombre,"Nombre",VARCHAR,128,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,TEMA_COMUNICADO,,TemaComunicado,,"Tema Comunicado",,,,
,,tema_ingles,TemaIngles,"Tema Ingles",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
